league,team,percentwin
Premier League,Manchester City,7.67
Premier League,Liverpool,7.11
Premier League,Tottenham,6.69
Premier League,Manchester United,6.62
Premier League,Chelsea,6.58
Premier League,Arsenal,6.39
Premier League,Leicester,5.34
Premier League,Everton,5.08
Premier League,West Ham,4.92
Premier League,Southampton,4.62
Premier League,Crystal Palace,4.32
Premier League,Burnley,3.65
Premier League,Newcastle United,3.46
Premier League,West Bromwich Albion,2.82
Premier League,Bournemouth,2.78
Premier League,Watford,2.74
Premier League,Stoke,2.63
Premier League,Swansea,2.41
Premier League,Wolverhampton Wanderers,2.26
Premier League,Brighton,2.14
Premier League,Aston Villa,1.92
Premier League,Sunderland,1.43
Premier League,Sheffield United,1.17
Premier League,Hull,0.98
Premier League,Fulham,0.86
Premier League,Huddersfield,0.79
Premier League,Norwich,0.71
Premier League,Leeds,0.68
Premier League,Cardiff,0.45
Premier League,Middlesbrough,0.45
Premier League,Queens Park Rangers,0.34
Serie A,Juventus,8.20
Serie A,Napoli,7.07
Serie A,Roma,6.95
Serie A,Inter,6.73
Serie A,Lazio,6.32
Serie A,Atalanta,6.17
Serie A,AC Milan,6.13
Serie A,Fiorentina,5.04
Serie A,Torino,4.96
Serie A,Sampdoria,4.77
Serie A,Sassuolo,4.70
Serie A,Genoa,4.21
Serie A,Udinese,4.06
Serie A,Bologna,3.53
Serie A,Cagliari,3.50
Serie A,Verona,2.89
Serie A,Chievo,2.52
Serie A,Empoli,2.29
Serie A,Parma Calcio 1913,1.95
Serie A,Palermo,1.69
Serie A,SPAL 2013,1.24
Serie A,Crotone,1.20
Serie A,Frosinone,0.75
Serie A,Benevento,0.71
Serie A,Carpi,0.56
Serie A,Spezia,0.53
Serie A,Lecce,0.45
Serie A,Cesena,0.34
Serie A,Brescia,0.30
Serie A,Pescara,0.23
La Liga,Barcelona,8.20
La Liga,Real Madrid,7.86
La Liga,Atletico Madrid,7.63
La Liga,Sevilla,6.32
La Liga,Villarreal,5.83
La Liga,Valencia,5.34
La Liga,Real Sociedad,5.08
La Liga,Athletic Club,5.08
La Liga,Celta Vigo,4.70
La Liga,Eibar,4.40
La Liga,Real Betis,3.95
La Liga,Getafe,3.91
La Liga,Espanyol,3.83
La Liga,Levante,3.27
La Liga,Alaves,2.93
La Liga,Granada,2.63
La Liga,Malaga,2.29
La Liga,Deportivo La Coruna,2.22
La Liga,Leganes,2.18
La Liga,Real Valladolid,1.65
La Liga,Rayo Vallecano,1.62
La Liga,Osasuna,1.62
La Liga,Las Palmas,1.43
La Liga,Girona,1.24
La Liga,Sporting Gijon,1.05
La Liga,Elche,1.05
La Liga,SD Huesca,0.98
La Liga,Cadiz,0.64
La Liga,Mallorca,0.45
La Liga,Almeria,0.34
La Liga,Cordoba,0.30
Ligue 1,Paris Saint Germain,8.13
Ligue 1,Lyon,6.65
Ligue 1,Monaco,6.45
Ligue 1,Marseille,6.18
Ligue 1,Nice,5.79
Ligue 1,Lille,5.63
Ligue 1,Rennes,5.43
Ligue 1,Montpellier,5.32
Ligue 1,Saint-Etienne,5.12
Ligue 1,Bordeaux,5.04
Ligue 1,Nantes,4.65
Ligue 1,Angers,3.71
Ligue 1,Reims,3.24
Ligue 1,Caen,3.13
Ligue 1,Toulouse,3.09
Ligue 1,Guingamp,3.05
Ligue 1,Metz,2.66
Ligue 1,Dijon,2.46
Ligue 1,Lorient,2.38
Ligue 1,Strasbourg,2.38
Ligue 1,SC Bastia,1.76
Ligue 1,Amiens,1.60
Ligue 1,Nimes,1.60
Ligue 1,Lens,1.21
Ligue 1,Brest,1.06
Ligue 1,Troyes,0.66
Ligue 1,GFC Ajaccio,0.55
Ligue 1,Nancy,0.55
Ligue 1,Evian Thonon Gaillard,0.51
Bundesliga,Bayern Munich,9.15
Bundesliga,Borussia Dortmund,7.61
Bundesliga,Borussia M.Gladbach,6.54
Bundesliga,Bayer Leverkusen,6.30
Bundesliga,Hoffenheim,6.26
Bundesliga,Wolfsburg,5.84
Bundesliga,Eintracht Frankfurt,5.32
Bundesliga,RasenBallsport Leipzig,5.18
Bundesliga,Hertha Berlin,5.09
Bundesliga,Schalke 04,5.00
Bundesliga,Werder Bremen,4.95
Bundesliga,Mainz 05,4.86
Bundesliga,Augsburg,4.53
Bundesliga,Freiburg,4.39
Bundesliga,FC Cologne,3.78
Bundesliga,VfB Stuttgart,3.27
Bundesliga,Hamburger SV,2.43
Bundesliga,Hannover 96,2.43
Bundesliga,Union Berlin,1.49
Bundesliga,Fortuna Duesseldorf,1.40
Bundesliga,Ingolstadt,1.21
Bundesliga,Darmstadt,1.03
Bundesliga,Paderborn,0.98
Bundesliga,Arminia Bielefeld,0.70
Bundesliga,Nuernberg,0.28